One-way Ticket (Local Transport),Monthly Pass (Regular Price),Gasoline (1 liter),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Country,Capital
0.51,13.92,0.94,0.63,0.16,1.14, India,Gurgaon
1.5,41.9,1.3,4.0,1.08,19.32, Spain,Valencia
2.4,48.0,1.24,4.0,1.42,27.8, Austria,Vienna
0.25,12.02,0.98,0.63,0.19,0.95, India,Hyderabad
0.91,36.04,1.31,0.99,0.62,8.81, Uruguay,Montevideo
1.53,55.69,1.64,3.21,0.96,23.31, Israel,Tel Aviv-Yafo
0.52,18.82,1.19,0.52,0.52,5.02, Romania,Timisoara
0.6,38.47,0.88,2.1,0.75,7.06, Taiwan,Taipei
0.13,3.16,0.96,0.38,0.22,0.76, India,Kolkata
0.57,24.37,1.1,0.65,0.41,4.87, Macedonia,Skopje
0.52,26.04,0.92,1.82,0.39,4.69, China,Shanghai
1.04,35.61,0.89,1.04,0.25,3.56, Thailand,Bangkok
0.25,3.8,1.0,0.28,0.28,1.27, India,Mumbai
3.42,93.15,1.63,5.02,2.28,57.64, Iceland,Reykjavik
0.63,38.02,1.07,0.44,0.39,6.34, Jordan,Amman
0.25,12.66,1.0,0.63,0.23,1.27, India,Pune
3.8,84.51,1.49,4.27,1.31,49.38, Sweden,Stockholm
0.3,10.78,0.79,0.72,0.34,4.12, Argentina,Buenos Aires
0.27,13.48,0.71,1.68,0.25,2.59, Belarus,Minsk
0.63,42.12,1.0,1.02,1.04,5.95, Costa Rica,San Jose
0.47,21.57,0.97,0.7,0.68,4.11, Morocco,Casablanca
0.66,21.25,1.17,1.42,0.47,8.5, Poland,Lodz
2.41,59.47,0.88,2.41,1.2,26.81, Canada,Montreal
0.94,45.82,0.92,1.1,0.6,7.24, Brazil,Sao Paulo
2.66,62.44,1.49,4.84,1.36,51.18, Sweden,Gothenburg
3.0,125.0,1.44,4.0,1.35,26.73, Ireland,Dublin
0.73,31.84,0.68,1.89,0.21,7.92, Russia,Moscow
0.43,34.01,1.05,3.4,2.55,3.4, Dominican Republic,Santo Domingo
2.36,61.52,0.93,2.8,1.16,24.48, Australia,Adelaide
3.88,78.59,1.53,6.47,4.16,73.78, Switzerland,Zurich
0.19,11.27,0.83,1.13,0.19,2.25, Armenia,Yerevan
0.27,12.05,0.92,0.71,0.24,2.14, Philippines,Manila
2.48,94.23,0.92,2.6,1.34,30.46, Australia,Brisbane
0.23,11.41,0.6,0.46,0.33,2.76, Indonesia,Jakarta
0.46,22.92,1.07,0.69,0.46,3.82, Turkey,Ankara
0.26,5.63,1.14,1.88,0.26,3.0, Ukraine,Lviv
0.32,11.01,0.64,1.58,0.15,4.4, Russia,Novosibirsk
0.51,22.95,1.05,0.64,0.5,2.75, Turkey,Bursa
2.1,49.0,1.44,3.0,1.95,30.0, Belgium,Brussels
1.53,55.23,1.67,3.11,0.95,21.24, Israel,Jerusalem
2.72,95.36,0.91,3.1,1.11,21.18, Australia,Melbourne
2.58,84.02,0.87,3.11,1.07,30.45, Australia,Perth
2.73,130.49,0.93,2.49,1.37,35.05, Australia,Sydney
0.23,8.44,0.39,0.34,0.14,2.25, Egypt,Alexandria
0.22,23.81,0.54,1.35,1.35,8.98, Ecuador,Quito
